GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1278337239,20251209,202512,2025,2025.9288,INS,COUP PLOTTER,,,,,,INS,,,GOV,GOVERNMENT,,,,,,GOV,,,1,190,190,19,4,-10,10,1,10,-9.20634920634925,4,"Tchaourou, Benin (general), Benin",BN,BN00,5891,8.88649,2.59752,-1336437,4,"Tchaourou, Benin (general), Benin",BN,BN00,5891,8.88649,2.59752,-1336437,4,"Tchaourou, Benin (general), Benin",BN,BN00,5891,8.88649,2.59752,-1336437,20251209090000,https://www.opinionnigeria.com/benin-government-confirms-multiple-deaths-as-coup-attempt-is-foiled/
1278310717,20251209,202512,2025,2025.9288,GOV,GOVERNMENT,,,,,,GOV,,,MIL,NATIONAL GUARD,,,,,,MIL,,,1,181,181,18,4,-9,4,1,4,-8.51735015772871,4,"Tchaourou, Benin (general), Benin",BN,BN00,5891,8.88649,2.59752,-1336437,4,"Tchaourou, Benin (general), Benin",BN,BN00,5891,8.88649,2.59752,-1336437,4,"Tchaourou, Benin (general), Benin",BN,BN00,5891,8.88649,2.59752,-1336437,20251209051500,https://www.spacewar.com/afp/251209030826.la0hv9b5.html
1278327347,20251209,202512,2025,2025.9288,TGO,TOGO,TGO,,,,,,,,GOV,GOVERNMENT,,,,,,GOV,,,0,086,086,08,2,9,1,1,1,-6.72514619883041,4,"Tchaourou, Benin (general), Benin",BN,BN00,5891,8.88649,2.59752,-1336437,4,"Tchaourou, Benin (general), Benin",BN,BN00,5891,8.88649,2.59752,-1336437,4,"Tchaourou, Benin (general), Benin",BN,BN00,5891,8.88649,2.59752,-1336437,20251209074500,https://www.stabroeknews.com/2025/12/09/news/world/nigerian-airstrikes-helped-foil-coup-attempt-benin-says/
1278294290,20251209,202512,2025,2025.9288,MIL,ARMY CHIEF,,,,,,MIL,,,MILMIL,ARMY CHIEF,,,,,,MIL,MIL,,0,181,181,18,4,-9,6,1,6,-3.36391437308868,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209020000,https://www.kten.com/news/benin-hunts-soldiers-behind-failed-coup/article_b8cda3dd-723c-5aa0-9e54-701142c44d72.html
1278325088,20251209,202512,2025,2025.9288,IGOAFRAFU,AFRICAN UNION,AFR,,,,,IGO,,,GOV,GOVERNANCE,,,,,,GOV,,,0,111,111,11,3,-2,10,1,10,-6.57596371882086,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209073000,https://www.dailyexcelsior.com/benin-president-talon-assures-citizens-situation-under-control/
1278365407,20251209,202512,2025,2025.9288,LEG,SENATE PRESIDENT,,,,,,LEG,,,,,,,,,,,,,1,040,040,04,1,1,6,1,6,1.65289256198347,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20251209121500,https://punchng.com/coup-tinubu-seeks-senate-approval-for-troop-deployment-to-benin/
1278415876,20251209,202512,2025,2025.9288,IGOUNO,THE UN,,UNO,,,,IGO,,,,,,,,,,,,,1,012,012,01,1,-0.4,10,1,10,-0.48780487804878,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20251209171500,https://www.africanews.com/2025/12/09/un-chief-backs-benin-authorities-ecowas-after-coup-attempt/
1278376565,20251209,202512,2025,2025.9288,OPP,POLITICAL PRISONER,,,,,,OPP,,,,,,,,,,,,,0,0841,084,08,2,7,5,1,5,-7.28228228228228,4,"Porto-Novo, Qué, Benin",BN,BN16,5922,6.48333,2.61667,-1335726,0,,,,,,,,4,"Porto-Novo, Qué, Benin",BN,BN16,5922,6.48333,2.61667,-1335726,20251209131500,https://www.aljazeera.com/opinions/2025/12/9/benins-real-coup-already-happened-under-president-talon
1278394468,20251209,202512,2025,2025.9288,BEN,BENIN,BEN,,,,,,,,,,,,,,,,,,0,020,020,02,1,3,2,1,2,0.58910162002946,3,"Hollywood, California, United States",US,USCA,CA037,34.0983,-118.327,1660757,0,,,,,,,,4,"Ouidah, Atlantique, Benin",BN,BN09,5879,6.36307,2.08506,-1335504,20251209151500,https://haitiantimes.com/2025/12/09/haitian-podcaster-discovers-vodou/
1278390152,20251209,202512,2025,2025.9288,,,,,,,,,,,BUS,AIRLINE,,,,,,BUS,,,0,036,036,03,1,4,10,1,10,-4.27350427350427,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209144500,https://www.channelstv.com/2025/12/09/senate-summons-aviation-minister-over-surging-airfare-costs/
