MonthYear,ActionGeo_ADM1Code,Total_Events,Goldstein_Neg_Mean,AvgTone_Neg_Mean,QuadClass4_Count,MIL_COP_Count,Pct_QuadClass4,Goldstein_Neg_Norm,AvgTone_Neg_Norm,Pct_QuadClass4_Norm,ISRB,Target_ISRB_NextMonth,Dept_BN08,Dept_BN09,Dept_BN10,Dept_BN11,Dept_BN12,Dept_BN13,Dept_BN14,Dept_BN15,Dept_BN16,Dept_BN18
202505,BN10,21.0,-4.030769230769231,-3.5125869975055326,12.0,3.0,57.14285714285714,0.40307692307692305,0.35125869975055324,0.5714285714285714,0.4574630265859899,0.8533960948396093,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202506,BN10,3.0,-9.666666666666666,-4.60251046025104,3.0,2.0,100.0,0.9666666666666666,0.46025104602510397,1.0,0.8533960948396093,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202507,BN10,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.42154355462675586,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202508,BN10,16.0,-8.333333333333334,-2.1950755184035673,3.0,0.0,18.75,0.8333333333333334,0.21950755184035672,0.1875,0.42154355462675586,0.5199983901008016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202509,BN10,27.0,-7.958333333333333,-4.917528196624657,8.0,2.0,29.629629629629626,0.7958333333333333,0.4917528196624657,0.2962962962962963,0.5199983901008016,0.4102553825207839,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202510,BN10,12.0,-6.0,-5.3435486341646925,2.0,1.0,16.666666666666664,0.6,0.5343548634164692,0.16666666666666663,0.4102553825207839,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202511,BN10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3969619064514853,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202512,BN10,25.0,-6.95,-2.3084762580594123,6.0,1.0,24.0,0.6950000000000001,0.23084762580594123,0.24,0.3969619064514853,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202601,BN10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5622439069706087,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202602,BN10,16.0,-7.616666666666667,-7.8264229454910135,4.0,2.0,25.0,0.7616666666666667,0.7826422945491014,0.25,0.5622439069706087,0.5066062323479213,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
